,name,instance,k,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,24.140724182128906,0.0,0.03577086985277266,0.009611306553574306,0.5788329861176895,0.3773327983239793,1.5269478363922608,1.4194771531635502
1,"MLP_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,24.140724182128906,0.0,0.03577086985277266,0.009611306553574306,0.57275798530897,0.3706165252795107,1.481982370561549,1.341278377366548
2,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,121.46674513816833,0.0,0.043627979363571635,0.03286565492896358,0.59797823337002,0.3888320639124395,1.6493008160352254,1.5661178842281174
3,"LSTM_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",0,100,10,10,121.46674513816833,0.0,0.043627979363571635,0.03286565492896358,0.5903272968836485,0.3940667174148197,1.6688158345055664,1.5856942361255069
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,24.11627984046936,0.0,0.035823700487779706,0.011698479780883118,0.37889426558452355,0.247906992313325,0.538654059790296,0.5831721671143637
1,"MLP_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,24.11627984046936,0.0,0.035823700487779706,0.011698479780883118,0.3878421236290917,0.2544967587412706,0.581124710349678,0.6556175027872699
2,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,117.48289132118225,0.0,0.04354984116089377,0.04638637535992924,0.4044480578274005,0.2610983168526898,0.6302080500564902,0.6878049667639586
3,"LSTM_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",1,100,10,10,117.48289132118225,0.0,0.04354984116089377,0.04638637535992924,0.3931932849825381,0.25680809743469935,0.5984064210948146,0.6454627065272998
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,24.801671266555786,0.0,0.03623877444737394,0.01014727536126589,1.6174794290134944,0.9588647600086124,10.459998756776764,8.992274311772455
1,"MLP_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,24.801671266555786,0.0,0.03623877444737394,0.01014727536126589,1.6183812302621734,0.9481941138985045,10.352154393955203,8.8255281665428
2,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,115.46283841133118,0.0,0.044250063157417405,0.03948190960930343,1.689647217450582,1.0280611860648599,11.626443923514064,10.476586906373974
3,"LSTM_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,115.46283841133118,0.0,0.044250063157417405,0.03948190960930343,1.6902714162168515,1.0050247414747948,11.60118090650252,10.056909653091513
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,27.785671949386597,0.0,0.0348404669163951,0.00687447210097218,0.5582146614512824,0.35659840699639267,1.3994404454820055,1.2409740004091054
1,"MLP_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,27.785671949386597,0.0,0.0348404669163951,0.00687447210097218,0.5601316650148485,0.36314092550593424,1.4373949037269103,1.3109323735901854
2,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,290.0889687538147,0.0,0.05100097563273395,0.027816540693122064,0.5916889823432419,0.3831534543132615,1.6278804398953057,1.5416447919949612
3,"LSTM_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,290.0889687538147,0.0,0.05100097563273395,0.027816540693122064,0.5946765584506674,0.4160538079133425,1.7392132854275748,1.7714285700387988
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,23.804052591323853,0.0,0.035021387434935505,0.01159958290499466,0.36991013854549093,0.24297458029481672,0.5229045337628238,0.5413686575355
1,"MLP_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,23.804052591323853,0.0,0.035021387434935505,0.01159958290499466,0.33994775485927325,0.22986825559733898,0.4387279136779016,0.4245381424917748
2,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,281.12825322151184,0.0,0.050904361650472234,0.028214415655185416,0.342132689797758,0.2558477432185762,0.4905883135107904,0.5531578528694391
3,"LSTM_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,281.12825322151184,0.0,0.050904361650472234,0.028214415655185416,0.3506494831234744,0.26544226531003834,0.5094694633155558,0.5585344114190656
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,24.35107731819153,0.0,0.035096020094105895,0.007978254559026109,1.5027562203818357,0.8894126436102249,9.084198253817881,7.851902753936088
1,"MLP_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,24.35107731819153,0.0,0.035096020094105895,0.007978254559026109,1.4924347802823774,0.8636545680890281,8.829815939197772,7.595555766117231
2,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,290.8904039859772,0.0,0.051121233550595564,0.028083855150749036,1.637922243548847,1.0173746138524107,11.322952461209452,10.760785518893504
3,"LSTM_elevation[Elevation,y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,290.8904039859772,0.0,0.051121233550595564,0.028083855150749036,1.6526596617051055,1.0517622843393917,11.635531722283384,11.158712705465067
,name,instance,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
0,"MLP_base[y]*n=10,step=10",0,10,10,19.42176604270935,0.0,0.03493112840360254,0.006976062177282598,0.9503350902535224,0.6626839785470239,3.8751472614959876,4.222204629463464
1,"MLP_elevation[Elevation,y]*n=10,step=10",0,10,10,19.42176604270935,0.0,0.03493112840360254,0.006976062177282598,0.6555760168878999,0.36824750916248167,1.847743816807074,1.5978717786506782
2,"LSTM_base[y]*n=10,step=10",0,10,10,121.83802127838135,0.0,0.042233348888939135,0.029986806694727756,0.9477114474569528,0.6523643462595706,3.857264247432902,4.162716773650865
3,"LSTM_elevation[Elevation,y]*n=10,step=10",0,10,10,121.83802127838135,0.0,0.042233348888939135,0.029986806694727756,0.6461889001028072,0.41067527218921557,2.01095209041783,1.9146415445357394
0,"MLP_base[y]*n=10,step=10",1,10,10,19.204975128173828,0.0,0.036581015520441164,0.008430322732053434,0.6384720212644819,0.4702566781764652,1.4622810580913477,1.8966018100379456
1,"MLP_elevation[Elevation,y]*n=10,step=10",1,10,10,19.204975128173828,0.0,0.036581015520441164,0.008430322732053434,0.4241388088284211,0.23315135921183353,0.6570323082245753,0.5937114917902404
2,"LSTM_base[y]*n=10,step=10",1,10,10,121.1006031036377,0.0,0.04401360448024399,0.029414303683417093,0.6390135699367427,0.481067951872223,1.4839608314075834,1.9345551976141813
3,"LSTM_elevation[Elevation,y]*n=10,step=10",1,10,10,121.1006031036377,0.0,0.04401360448024399,0.029414303683417093,0.41344448622724683,0.25096254579574745,0.6742250936162799,0.6600857275041714
0,"MLP_base[y]*n=10,step=10",2,10,10,22.317888736724854,0.0,0.03617833030055946,0.012368299213384344,2.8682942707600834,1.6620712292830986,29.280413160112104,26.34567999860968
1,"MLP_elevation[Elevation,y]*n=10,step=10",2,10,10,22.317888736724854,0.0,0.03617833030055946,0.012368299213384344,1.779735374128098,0.9059023785339944,11.436969621068227,8.735572020389565
2,"LSTM_base[y]*n=10,step=10",2,10,10,121.26991558074951,0.0,0.042625051149180235,0.02864764152215572,2.880909165684462,1.7328863282269633,30.612083367210797,27.134385042733783
3,"LSTM_elevation[Elevation,y]*n=10,step=10",2,10,10,121.26991558074951,0.0,0.042625051149180235,0.02864764152215572,1.8330325031979324,1.0212243108323125,12.936731916877923,10.478513623504782
0,"MLP_base[y]*n=28,step=10",0,28,10,22.525280475616455,0.0,0.035340831804408335,0.012465924241771975,0.5995658369053676,0.401278047785906,1.7516337804673638,1.8375927564894101
1,"MLP_elevation[Elevation,y]*n=28,step=10",0,28,10,22.525280475616455,0.0,0.035340831804408335,0.012465924241771975,0.5455301684116028,0.34466408220869993,1.352849492754397,1.186683688580925
2,"LSTM_base[y]*n=28,step=10",0,28,10,280.2568838596344,0.0,0.05114035818902231,0.028340481497658287,0.6099372619053358,0.42889550556929495,1.8585491538784893,2.039517841245073
3,"LSTM_elevation[Elevation,y]*n=28,step=10",0,28,10,280.2568838596344,0.0,0.05114035818902231,0.028340481497658287,0.5580507215752989,0.3655593643765487,1.4761746809254237,1.4064743548188627
0,"MLP_base[y]*n=28,step=10",1,28,10,21.135589361190796,0.0,0.03528899402671538,0.01230373821550382,0.2713872842386138,0.32264327182188673,0.47389267055534545,0.6886620147581546
1,"MLP_elevation[Elevation,y]*n=28,step=10",1,28,10,21.135589361190796,0.0,0.03528899402671538,0.01230373821550382,0.3147544715359701,0.2788730727774452,0.480983482391741,0.6540962968824068
2,"LSTM_base[y]*n=28,step=10",1,28,10,279.95125555992126,0.0,0.05261421336437002,0.039761565741470904,0.2788512797639982,0.32609668548419585,0.4862765184652098,0.6955320912090251
3,"LSTM_elevation[Elevation,y]*n=28,step=10",1,28,10,279.95125555992126,0.0,0.05261421336437002,0.039761565741470904,0.3272992453467239,0.25955820989799333,0.48089785014142394,0.49788162279409975
0,"MLP_base[y]*n=28,step=10",2,28,10,21.953396797180176,0.0,0.03699016571044922,0.03333852714910323,1.6604516907298656,0.9267387249029034,10.954296730458777,10.028208734886155
1,"MLP_elevation[Elevation,y]*n=28,step=10",2,28,10,21.953396797180176,0.0,0.03699016571044922,0.03333852714910323,1.5075137053891918,0.8659773957662921,9.03127577687151,7.356909303015509
2,"LSTM_base[y]*n=28,step=10",2,28,10,279.5286371707916,0.0,0.051024982291208186,0.02854267721763656,1.6847311479648106,0.9135434626522234,11.256780596495577,9.972220894017646
3,"LSTM_elevation[Elevation,y]*n=28,step=10",2,28,10,279.5286371707916,0.0,0.051024982291208186,0.02854267721763656,1.5301663189731358,0.8890544714886055,9.588560870505459,7.964698987649507
0,"MLP_base[y]*n=56,step=10",0,56,10,22.305245399475098,0.0,0.03590386358808342,0.007250051156909975,0.6516622694622458,0.4367661031055859,2.016273736848884,2.0797648385176304
1,"MLP_elevation[Elevation,y]*n=56,step=10",0,56,10,22.305245399475098,0.0,0.03590386358808342,0.007250051156909975,0.5706884089281052,0.3749844151224228,1.5058727417746292,1.4784160716467711
2,"LSTM_base[y]*n=56,step=10",0,56,10,566.0901019573212,0.0,0.06571083082130029,0.030795099767554856,0.648331587263626,0.4373246197893231,1.9963693001677036,2.0091429976440125
3,"LSTM_elevation[Elevation,y]*n=56,step=10",0,56,10,566.0901019573212,0.0,0.06571083082130029,0.030795099767554856,0.5829334899492721,0.3984823211837198,1.6726221744394134,1.664862985663945
